sampleId,sampleId_orig,locality,lat,long,continent,country,city,province,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads
AT_Kar_See_1_2016-08-01,AT_See_16_1,AT_Kar_See,46.8136889,13.50794792,Europe,Austria,Seeboden,Karnten,1,1,8,8,2016,214,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Martin_Kapun,SRR8494439,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2014-07-20,AT_Mau_14_01,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,20,20,7,7,2014,201,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Andrea_J._Betancourt,SRR5647751,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2014-10-19,AT_Mau_14_02,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,19,19,10,10,2014,292,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Andrea_J.Betancourt,SRR5647750,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2015-07-20,AT_Mau_15_50,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,20,20,7,7,2015,201,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Andrea_Betancourt,SRR8439127,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2015-10-19,AT_Mau_15_51,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,19,19,10,10,2015,292,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Andrea_Betancourt,SRR8439143,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Wie_Gro_1_2012-08-03,AT_gr_12_spring,AT_Wie_Gro,48.2,16.37,Europe,Austria,Gross-Enzersdorf,Wien,3,3,8,8,2012,216,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,62,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590553,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Wie_Gro_1_2012-10-20,AT_gr_12_fall,AT_Wie_Gro,48.2,16.37,Europe,Austria,Gross-Enzersdorf,Wien,20,20,10,10,2012,294,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,44,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590552,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
BY_Bre_Bre_1_2015-09-11,BY_Bre_15_13,BY_Bre_Bre,52.142193,23.662434,Europe,Belarus,Brest,Brest,11,11,9,9,2015,254,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Iryna_Kozeretska,SRR8439157,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
CH_Fri_Ors_1_2020-08-23,NA,CH_Fri_Ors,46.71061,6.98713,Europe,Switzerland,Orsonnens,Fribourg,23,23,8,8,2020,236,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Margot Paris,NA,NA,DrosEu-103,FALSE,4.7,Fail,DIN,Pass,81616022
CH_Vau_Cha_1_2014-07-24,CH_Cha_14_42,CH_Vau_Cha,46.5670416,6.701867,Europe,Switzerland,Chalet Gobet,Vaud,24,24,7,7,2014,205,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Martin_Kapun,SRR5647754,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
CH_Vau_Cha_1_2014-10-05,CH_Cha_14_43,CH_Vau_Cha,46.5670416,6.701867,Europe,Switzerland,Chalet Gobet,Vaud,5,5,10,10,2014,278,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Martin_Kapun,SRR5647758,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
CH_Vau_Cha_1_2015-08-01,CH_Cha_15_39,CH_Vau_Cha,46.5670416,6.701867,Europe,Switzerland,Chalet Gobet,Vaud,1,1,8,8,2015,213,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Martin_Kapun_(Flatt_lab),SRR8439166,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
CH_Vau_Cha_1_2016-08-15,CH_Cha_16_38,CH_Vau_Cha,46.5670416,6.701867,Europe,Switzerland,Chalet Gobet,Vaud,15,15,8,8,2016,228,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Martin_Kapun,SRR8494459,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
